SupplierName,TotalOrders,TotalRevenue,AvgFeedback,AvgLeadTime
Kazu,8,6853677.96,3.125,82.25
Jayo,7,6322534.4,2.857142857142857,55.57142857142857
Innotype,7,6112961.55,2.7142857142857144,27.285714285714285
Feedbug,7,6083640.05,3.2857142857142856,175.42857142857142
Abatz,7,6025561.08,3.142857142857143,126.14285714285714
Quatz,7,5974097.97,3.2857142857142856,30.857142857142858
Gabcube,6,5504518.71,3.0,130.0
Divanoodle,6,5299627.89,2.1666666666666665,76.16666666666667
Linkbridge,6,5296290.6899999995,3.0,102.5
Divavu,6,5256356.37,1.8333333333333333,69.5
Roombo,6,5145136.11,2.5,82.33333333333333
Skidoo,6,5139639.94,3.5,159.16666666666666
Kare,6,5108648.94,3.0,104.0
Mynte,6,4972429.22,3.0,93.5
Skyvu,6,4959684.4399999995,3.0,44.333333333333336
Quimba,6,4926666.4399999995,3.1666666666666665,38.5
Brainsphere,6,4878280.87,3.5,80.33333333333333
Skippad,5,4765209.41,3.8,103.8
Jamia,6,4759191.44,4.333333333333333,116.33333333333333
Yotz,5,4610180.14,2.6,3.0
Fadeo,5,4572280.75,2.8,156.6
Thoughtbeat,5,4481445.27,4.4,83.4
Livetube,5,4480059.27,2.6,63.4
Twitterlist,5,4380366.33,3.4,16.4
Livefish,5,4378318.44,1.6,76.6
Oozz,5,4376574.52,2.6,114.6
Skimia,5,4372887.33,4.0,114.6
Skivee,5,4369900.88,2.8,5.0
Pixoboo,5,4350474.79,2.4,59.6
Plajo,5,4340863.41,3.0,202.4
Feednation,5,4321992.98,2.6,88.8
Feedfire,5,4291046.12,2.0,129.8
Kwimbee,5,4290017.99,3.0,124.2
Linkbuzz,5,4280473.35,2.4,99.8
Teklist,5,4266517.62,3.0,85.4
Avaveo,5,4263944.49,3.6,110.0
Skiptube,5,4246992.0200000005,2.2,25.6
Rhynyx,5,4220126.76,3.0,167.4
Shuffledrive,5,4216769.37,3.8,110.6
Midel,5,4194536.08,2.6,167.8
Yodo,5,4160238.8,3.2,47.6
Ainyx,5,4157713.33,2.6,103.8
Skinix,5,4143384.64,4.0,27.8
Podcat,5,4121228.99,3.2,-4.2
Cogilith,5,4108174.67,2.4,12.6
Babbleblab,5,4105751.77,3.0,86.0
Chatterbridge,5,4065361.83,3.8,26.6
Pixonyx,5,4036320.63,3.0,67.0
Aivee,5,3995830.71,3.2,68.0
Demizz,5,3966092.51,3.6,104.6
Tagcat,5,3844338.2,2.6,43.6
Wikivu,4,3751576.59,2.75,123.25
Feedmix,4,3728447.98,2.75,120.0
Wordtune,4,3670720.64,3.5,145.75
Flipopia,4,3656991.84,2.5,113.75
Twitterworks,4,3633677.29,2.0,112.25
Wikibox,4,3601710.83,3.0,40.0
Skipstorm,4,3584359.56,2.0,59.75
Yakijo,4,3578655.77,3.0,112.0
Youspan,4,3550826.64,2.75,150.0
Twimbo,4,3543749.51,3.25,129.5
Skynoodle,4,3534595.7800000003,2.25,61.25
Livepath,4,3528644.66,3.5,158.75
Bluejam,4,3524238.08,2.75,21.25
Abata,4,3521563.93,2.75,99.0
Avavee,4,3510349.76,4.0,-67.5
Katz,4,3494959.18,3.25,182.25
Layo,4,3485827.1799999997,3.5,59.25
Youfeed,4,3424700.55,1.5,32.75
Yabox,4,3423036.56,1.5,43.75
Wikizz,4,3417361.48,3.75,239.25
Dabtype,4,3410014.36,2.25,175.5
Lazz,4,3398386.48,4.5,140.75
Leexo,4,3397064.05,3.0,-29.75
Vimbo,4,3395755.7199999997,2.75,139.75
Oba,4,3387692.06,3.5,169.0
Oyoyo,4,3365947.48,3.5,150.5
Skipfire,4,3363566.0,2.5,63.0
Ntag,4,3360353.5,2.5,107.25
Camimbo,4,3358521.75,3.25,123.5
Brightdog,4,3328975.6,2.25,-9.25
Gabspot,4,3322795.61,2.5,33.25
Skinte,4,3304672.17,3.5,136.25
Geba,4,3296146.77,2.25,82.75
Twitterwire,4,3295542.4,2.5,69.25
Jabbersphere,4,3291484.31,2.0,68.25
Jetwire,4,3283274.41,3.5,42.25
Devpoint,4,3277715.65,3.25,144.75
Rooxo,4,3272117.7800000003,3.25,86.5
Brainbox,4,3271804.45,2.25,186.25
Mydeo,4,3265192.38,3.25,-48.25
Blogtags,4,3254996.31,2.75,72.5
Snaptags,4,3251937.21,2.75,25.0
Vinte,4,3243453.3099999996,3.75,73.75
Babbleopia,4,3214954.0700000003,2.75,205.75
InnoZ,4,3205036.71,2.5,72.0
Topicstorm,4,3199959.41,2.0,163.25
Browsetype,4,3198851.93,3.75,111.0
Voonix,4,3180987.24,3.0,141.5
Avamm,4,3156268.56,2.25,3.0
Voomm,4,3113822.31,2.75,72.0
Realbuzz,4,2996214.85,3.0,76.75
Voolia,3,2896330.9699999997,3.0,-10.333333333333334
Edgeblab,3,2852530.72,3.3333333333333335,107.33333333333333
Skilith,3,2847552.72,4.0,209.0
Jaloo,3,2812276.39,2.6666666666666665,0.3333333333333333
Voonte,3,2807841.42,3.6666666666666665,-60.666666666666664
Edgeify,3,2793961.66,3.0,137.0
Blogspan,3,2777124.51,3.3333333333333335,14.666666666666666
Flashdog,3,2775998.37,3.6666666666666665,108.66666666666667
Jazzy,3,2767792.01,2.6666666666666665,71.33333333333333
Realblab,3,2767277.13,2.3333333333333335,89.66666666666667
Innojam,3,2759759.79,2.6666666666666665,176.33333333333334
Yakitri,3,2750616.4699999997,2.0,92.66666666666667
Skyba,3,2736037.08,3.0,84.0
Topdrive,3,2718452.09,4.333333333333333,104.66666666666667
Thoughtstorm,3,2702694.55,2.3333333333333335,-26.333333333333332
Jabbercube,3,2695182.27,3.0,56.666666666666664
Eamia,3,2682539.88,3.6666666666666665,121.33333333333333
Zava,3,2674281.6,2.0,4.666666666666667
Gabtype,3,2671057.4,3.6666666666666665,166.66666666666666
Fivebridge,3,2665039.29,3.3333333333333335,174.33333333333334
Buzzshare,3,2640278.7,2.0,138.33333333333334
Youbridge,3,2639387.9,3.6666666666666665,60.333333333333336
Quamba,3,2637646.86,4.0,40.333333333333336
Yombu,3,2635033.24,2.0,131.33333333333334
Vitz,3,2630850.27,1.6666666666666667,156.0
Omba,3,2625739.69,3.0,-60.666666666666664
Buzzbean,3,2623757.66,4.0,115.33333333333333
Dynabox,3,2619516.81,3.3333333333333335,20.0
Rhyloo,3,2614870.86,1.6666666666666667,212.33333333333334
Zoombeat,3,2594740.16,2.3333333333333335,-26.666666666666668
Linklinks,3,2593158.9699999997,3.3333333333333335,201.66666666666666
Eadel,3,2592599.49,3.3333333333333335,84.66666666666667
Oyoba,3,2592424.4,3.6666666666666665,129.0
Lazzy,3,2590687.91,2.3333333333333335,91.66666666666667
Latz,3,2586842.35,2.3333333333333335,-33.0
Zoomdog,3,2583913.65,2.3333333333333335,132.33333333333334
Quaxo,3,2582594.41,3.6666666666666665,-10.0
